MC-ID NO.,Street Name,Location,Village Name,Area,County
,Ansley Path,Sumter - Unit 155,Tamarind Grove,8,Sumter
,Antepenko Court,Sumter - Unit 833 (Oxford Oaks),Oxford Oaks,Oxford Oaks,Sumter
,Anthem Road,Sumter - Unit 99,Poinciana,5,Sumter
,Anthony Terrace,VOSO - Unit 85 (Carley Villas),Hawkins,13,Sumter
,Antigua Place,Sumter - Unit 808 (Biscayne Villas),Tamarind Grove,8,Sumter
,Antilles Court,Sumter - Unit 963 (Melbourne Villas),Collier,10,Sumter
,Antonia Lane,Sumter - Unit 14,De La Vista,1,Sumter
,Antonia Place,Sumter - Unit 13,Palo Alto,1,Sumter
,Anvil Avenue,Sumter - Unit 200,Dunedin,10,Sumter
,Apache Court,Sumter - Unit 224,Pinellas,9,Sumter
,Apalachee Avenue,Sumter - Unit 805 (Apalachee Villas),Buttonwood,8,Sumter
,Apollo Lane,Sumter - Unit 179,Charlotte,9,Sumter
,Aquino Lane,Sumter - Unit 23,Santo Domingo,2,Sumter
,Aragon Lane,Lake - Unit 19,Mira Mesa,LL,Lake
,Aranda Lane,Sumter - Unit 945 (Devon Villas),Charlotte,9,Sumter
,Arango Way,Sumter - Unit 966 (Antrim Dells),Collier @ Antrim Dells,10,Sumter
,Arbella Loop,Sumter - Unit 131,Amelia,6,Sumter
,Arbor Trail,Sumter - Unit 91,Sunset Pointe,5,Sumter
,Arbordale Avenue,Sumter - Unit 822 (Montbrook Villas),Tamarind Grove,8,Sumter
,Arcadia Lakes Drive,Sumter - Unit 101,Tall Trees,6,Sumter
,Arch Way,VOSO - Unit 108 (Doris Villas),Richmond,13,Sumter
,Archer Avenue,Sumter - Unit 34,Polo Ridge,3,Sumter
,Archer Avenue,Sumter - Unit 608 (Villa Berea),Polo Ridge,3,Sumter
,Arcola Court,Sumter - Unit 133,Hadley,7,Sumter
,Ardmore Way,Sumter - Unit 73,Bonnybrook,5,Sumter
,Ardsley Place,Sumter - Unit 207 (MacClenny),Fernandina,9,Sumter
,Ardson Avenue,Sumter - Unit 143,Hemingway,7,Sumter
SE 171ST,Argyll Street,Marion - Unit 49,Woodbury,4,Marion
SE 171ST,Argyll Street,Marion - Unit 52,Woodbury,4,Marion
,Arial Place,Sumter - Unit 92,Sunset Pointe,5,Sumter
,Arjay Court,Sumter - Unit 228,Pinellas,9,Sumter
SE 173RD,Arlington Loop,Marion - Unit 62,Chatham,4,Marion
,Arlyn Place,VOSO - Unit 124 (DeLuna Verandas South),DeLuna,13,Sumter
,Armadillo Place,Sumter - Unit 10,Rio Ranchero,1,Sumter
,Armondo Drive,Sumter - Unit 13,Palo Alto,1,Sumter
,Armstrong Avenue,VOSO - Unit 37,Monarch Grove,12,Sumter
,Arnett Avenue,Sumter - Unit 217,Hillsborough,10,Sumter
,Arnold Road,VOSO - Unit 740 (Cliff Villas),Monarch Grove,12,Sumter
,Arnsworth Avenue,Sumter - Unit 71,Winifred,5,Sumter
,Arredondo Drive,Sumter - Unit 30,Santiago,2,Sumter
,Arriago Way,Sumter - Unit 28,Santiago,2,Sumter
,Arrobes Place,Sumter - Unit 157,Buttonwood,8,Sumter
,Arroyo Avenue,VOSO - Unit 127 (Clara Villas),DeLuna,13,Sumter
,Arruda Terrace,Sumter - Unit 971 (Haciendas Of Mission Hills),Bridgeport @ Mission Hills,9,Sumter
,Arteaga Way,Sumter - Unit 971 (Haciendas Of Mission Hills),Bridgeport @ Mission Hills,9,Sumter
,Artesia Avenue,Sumter - Unit 35,Polo Ridge,3,Sumter
,Arthur Place,VOF - Unit 629 (Redbud Villas),Hammock at Fenney,12,Sumter
,Arvin Lane,Sumter - Unit 172,Hemingway,7,Sumter
,Ascot Loop,Sumter - Unit 242 (Hialeah Villas),Belvedere,5,Sumter
,Ashbrook Place,Sumter - Unit 67,Summerhill,3,Sumter
,Asher Path,Sumter - Unit 176,Sanibel,9,Sumter
,Ashford Avenue,Sumter - Unit 641 (Heritage Villas),Bonnybrook,5,Sumter
SE 80TH,Ashgrove Terrace,Marion - Unit 224 (Villas Of Morningview),Calumet Grove,4,Marion
,Ashland Avenue,Sumter - Unit 634 (Cottages At Summerchase),Belle Aire,3,Sumter
SE 172ND,Ashley Street,Marion - Unit 230 (Legacy Villas),Briar Meadow,4,Marion
,Ashton Lane,VOSO - Unit 95 (Boaz Villas),St. Johns,13,Sumter
,Ashville Avenue,Sumter - Unit 153,St. James,8,Sumter
,Ashwood Run,Sumter - Unit 166,Pennecamp,8,Sumter
,Aspen Pine Lane,Lake - Unit 78 (Spring Arbor Village),Spring Arbor,LC,Lake
,Astor Way,Sumter - Unit 118,Sabal Chase,6,Sumter
,Astoria Avenue,Sumter - Unit 147,Duval,7,Sumter
,Atala Avenue,VOF - Unit 1,Fenney,12,Sumter
,Atamasco Lily Loop,VOF - Unit 4,Fenney,12,Sumter
,Athens Lane,Sumter - Unit 611 (Villa St. Simons),Belle Aire,3,Sumter
,Atkinson Lane,VOSO - Unit 68,Citrus Grove,13,Sumter
,Atlas Drive,Sumter - Unit 828 (The Cabanas @ Creekside Landing),Bridgeport @ Creekside Landing,8,Sumter
,Atmore Lane,Sumter - Unit 940 (Atmore Villas),Gilchrist,9,Sumter
,Atwell Avenue,Sumter - Unit 35,Polo Ridge,3,Sumter
,Atwell Avenue,Sumter - Unit 36,Polo Ridge,3,Sumter
,Atwood Way,Sumter - Unit 40,Belle Aire,3,Sumter
SE 86TH,Auburn Avenue,Marion - Unit 44,Piedmont,4,Marion
,Auburndale Avenue,Sumter - Unit 67,Summerhill,3,Sumter
,Auburndale Avenue,Sumter - Unit 68,Summerhill,3,Sumter
,Audrey Lane,Sumter - Unit 700 (Audrey Villas),Amelia,6,Sumter
